"","Cov1_S4_R1_trimmed.genes.results","Cov2_S5_R1_trimmed.genes.results","Cov3_S6_R1_trimmed.genes.results","Mock1_S1_R1_trimmed.genes.results","Mock2_S2_R1_trimmed.genes.results","Mock3_S3_R1_trimmed.genes.results"
"ENSG00000000003.15_TSPAN6",1270,1013,848,4571,5500,4844
"ENSG00000000005.6_TNMD",121,125,49,3220,6435,2977
"ENSG00000000419.12_DPM1",1023,1045,674,2404,4794,1819
"ENSG00000000457.14_SCYL3",1049,713,692,854,356,1015
"ENSG00000000460.17_C1orf112",211,158,90,576,195,477
"ENSG00000000938.13_FGR",9,8,2,10,5,0
"ENSG00000000971.16_CFH",9605,10002,5705,10421,5633,15557
"ENSG00000001036.14_FUCA2",2133,2248,1555,3369,4120,4324
"ENSG00000001084.13_GCLC",676,615,634,1696,502,1867
"ENSG00000001167.14_NFYA",467,517,371,1181,344,1562
"ENSG00000001460.18_STPG1",197,226,189,587,508,694
"ENSG00000001461.17_NIPAL3",1140,1202,1106,3675,1429,4668
"ENSG00000001497.16_LAS1L",672,661,443,1734,876,2261
"ENSG00000001561.7_ENPP4",332,433,392,2381,839,1986
"ENSG00000001617.12_SEMA3F",173,134,126,86,131,242
"ENSG00000001626.16_CFTR",5,17,10,34,24,29
"ENSG00000001629.10_ANKIB1",974,1244,1139,2197,1089,2701
"ENSG00000001630.17_CYP51A1",1990,2166,1850,3962,2296,4507
"ENSG00000001631.15_KRIT1",453,243,212,1364,738,1337
"ENSG00000002016.18_RAD52",183,179,142,360,196,366
"ENSG00000002330.13_BAD",1613,1458,1163,5614,13961,5468
"ENSG00000002549.12_LAP3",1346,3075,815,2741,2662,3062
"ENSG00000002586.20_CD99",3318,2928,2108,4784,10551,6252
"ENSG00000002586.20_PAR_Y_CD99",3318,2928,2108,4784,10551,6252
"ENSG00000002587.10_HS3ST1",50,42,31,47,76,53
"ENSG00000002726.20_AOC1",1,0,1,18,1,4
"ENSG00000002745.13_WNT16",0,8,5,3,0,0
"ENSG00000002746.15_HECW1",3,62,20,65,33,36
"ENSG00000002822.15_MAD1L1",1227,995,683,1872,1163,2380
"ENSG00000002834.18_LASP1",5722,3834,4943,6943,3368,9096
"ENSG00000002919.14_SNX11",729,673,525,1620,1483,1806
"ENSG00000002933.9_TMEM176A",819,666,660,2450,5469,2562
