,Cov1_S4_R1_trimmed.genes.results,Cov2_S5_R1_trimmed.genes.results,Cov3_S6_R1_trimmed.genes.results,Mock1_S1_R1_trimmed.genes.results,Mock2_S2_R1_trimmed.genes.results,Mock3_S3_R1_trimmed.genes.results
ENSG00000000003.15_TSPAN6,36.25,34.25,32.95,55.1,38.68,55.61
ENSG00000000005.6_TNMD,8.18,9.81,4.7,88.5,98.81,79.28
ENSG00000000419.12_DPM1,68,75.36,58.29,68.11,75.74,49.52
ENSG00000000457.14_SCYL3,27.04,18.76,23.58,8.34,1.91,9.5
ENSG00000000460.17_C1orf112,4.93,4.22,3.13,6.42,1.3,5.88
ENSG00000000938.13_FGR,0.23,0.41,0.08,0.13,0.03,0
ENSG00000000971.16_CFH,190.71,216.07,149.35,86.15,32.86,119.87
ENSG00000001036.14_FUCA2,67.95,74.4,59.82,50.25,37.28,61.1
ENSG00000001084.13_GCLC,21.56,20.69,26.37,18.39,2.36,22.93
ENSG00000001167.14_NFYA,9.33,13.3,9.77,9.47,1.44,11.87
ENSG00000001460.18_STPG1,5.77,6.9,8.31,7.89,4.1,8.5
ENSG00000001461.17_NIPAL3,19.02,21.53,23.21,23.95,7.31,29.85
ENSG00000001497.16_LAS1L,19.35,20.99,17.23,24.77,6.75,27.44
ENSG00000001561.7_ENPP4,4.84,6.87,7.51,14.56,2.86,11.33
ENSG00000001617.12_SEMA3F,6.66,4.21,5.11,0.96,0.61,2.32
ENSG00000001626.16_CFTR,0.35,1.08,1.43,1.18,0.25,1.29
ENSG00000001629.10_ANKIB1,24.48,42.53,34.71,29.99,3.66,33
ENSG00000001630.17_CYP51A1,52.28,61.65,67.07,43.09,11.99,49.53
ENSG00000001631.15_KRIT1,11.94,7.95,9.89,17.11,10.6,13.97
ENSG00000002016.18_RAD52,7.81,11.52,6.54,5.68,1.6,5.14
ENSG00000002330.13_BAD,126.93,124.4,121.18,187.54,258.29,169.69
ENSG00000002549.12_LAP3,51.77,132.43,42.14,43.16,23.78,47.56
ENSG00000002586.20_CD99,244.54,229.93,195.24,144.37,180.83,185
ENSG00000002586.20_PAR_Y_CD99,244.54,229.93,195.24,144.37,180.83,185
ENSG00000002587.10_HS3ST1,0.47,1.34,0.84,0.2,0.18,0.56
ENSG00000002726.20_AOC1,0.08,0,0.03,0.4,0.02,0.07
ENSG00000002745.13_WNT16,0,0.19,0.23,0.05,0,0
ENSG00000002746.15_HECW1,0.3,1,0.46,0.79,0.29,0.45
ENSG00000002822.15_MAD1L1,38.84,31.67,25.84,24.31,11.19,33.32
ENSG00000002834.18_LASP1,107.12,74.93,117.38,52.77,14.16,65.04
ENSG00000002919.14_SNX11,24.74,24.52,21.98,23.03,10.33,21.87
ENSG00000002933.9_TMEM176A,61.59,55.89,65.79,74.8,91.69,71.85
ENSG00000003056.8_M6PR,122.91,137.01,121.79,110.17,49.37,117.53
ENSG00000003096.14_KLHL13,10.24,8.86,8.1,16.58,4.99,17.45
